Benchmarks of simstr, version 1.8.1
Sources: https://github.com/orefkov/simstr
Results: https://orefkov.github.io/simstr/results.html
Compiler Clang 22.0.0
2026-03-22T13:18:22+03:00
Running ./benchStr
Run on (32 X 2494.22 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
Load Average: 0.20, 0.67, 0.53
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
BuildTypeNameExp 10/10_stddev                                                                                      0.361 ns        0.361 ns            4
BuildTypeNameExp 10/10_cv                                                                                           1.16 %          1.16 %             4
BuildTypeNameSim 10/10_mean                                                                                         23.4 ns         23.4 ns            4
BuildTypeNameSim 10/10_median                                                                                       23.5 ns         23.5 ns            4
BuildTypeNameSim 10/10_stddev                                                                                      0.470 ns        0.470 ns            4
BuildTypeNameSim 10/10_cv                                                                                           2.01 %          2.01 %             4
-----  Replace string by copy -----/repeats:1                                                                      0.000 ns        0.000 ns   1000000000000
Concat with replace str_mean                                                                                         210 ns          210 ns            4
Concat with replace str_median                                                                                       209 ns          209 ns            4
Concat with replace str_stddev                                                                                      4.51 ns         4.51 ns            4
Concat with replace str_cv                                                                                          2.14 %          2.14 %             4
Concat with replace exp_mean                                                                                         154 ns          154 ns            4
Concat with replace exp_median                                                                                       154 ns          154 ns            4
Concat with replace exp_stddev                                                                                      1.87 ns         1.87 ns            4
Concat with replace exp_cv                                                                                          1.22 %          1.22 %             4
-----  Create Empty Str ---------/repeats:1                                                                        0.000 ns        0.000 ns   1000000000000
std::string e;_mean                                                                                                 1.13 ns         1.13 ns            4
std::string e;_median                                                                                               1.14 ns         1.14 ns            4
std::string e;_stddev                                                                                              0.019 ns        0.019 ns            4
std::string e;_cv                                                                                                   1.68 %          1.68 %             4
std::string_view e;_mean                                                                                           0.377 ns        0.377 ns            4
std::string_view e;_median                                                                                         0.377 ns        0.377 ns            4
std::string_view e;_stddev                                                                                         0.006 ns        0.006 ns            4
std::string_view e;_cv                                                                                              1.57 %          1.57 %             4
ssa e;_mean                                                                                                        0.372 ns        0.372 ns            4
ssa e;_median                                                                                                      0.371 ns        0.371 ns            4
ssa e;_stddev                                                                                                      0.005 ns        0.005 ns            4
ssa e;_cv                                                                                                           1.34 %          1.34 %             4
stringa e;_mean                                                                                                    0.763 ns        0.763 ns            4
stringa e;_median                                                                                                  0.759 ns        0.759 ns            4
stringa e;_stddev                                                                                                  0.012 ns        0.012 ns            4
stringa e;_cv                                                                                                       1.61 %          1.61 %             4
lstringa<20> e;_mean                                                                                                1.14 ns         1.14 ns            4
lstringa<20> e;_median                                                                                              1.13 ns         1.13 ns            4
lstringa<20> e;_stddev                                                                                             0.015 ns        0.015 ns            4
lstringa<20> e;_cv                                                                                                  1.36 %          1.36 %             4
lstringa<40> e;_mean                                                                                                1.14 ns         1.14 ns            4
lstringa<40> e;_median                                                                                              1.12 ns         1.12 ns            4
lstringa<40> e;_stddev                                                                                             0.026 ns        0.026 ns            4
lstringa<40> e;_cv                                                                                                  2.27 %          2.27 %             4
-----  Create Str from short literal (9 symbols) --------/repeats:1                                                0.000 ns        0.000 ns   1000000000000
std::string e      = "Test text";_mean                                                                              1.87 ns         1.87 ns            4
std::string e      = "Test text";_median                                                                            1.87 ns         1.87 ns            4
std::string e      = "Test text";_stddev                                                                           0.027 ns        0.027 ns            4
std::string e      = "Test text";_cv                                                                                1.46 %          1.46 %             4
std::string_view e = "Test text";_mean                                                                             0.761 ns        0.761 ns            4
std::string_view e = "Test text";_median                                                                           0.765 ns        0.765 ns            4
std::string_view e = "Test text";_stddev                                                                           0.010 ns        0.010 ns            4
std::string_view e = "Test text";_cv                                                                                1.36 %          1.36 %             4
ssa e              = "Test text";_mean                                                                             0.382 ns        0.382 ns            4
ssa e              = "Test text";_median                                                                           0.382 ns        0.382 ns            4
ssa e              = "Test text";_stddev                                                                           0.005 ns        0.005 ns            4
ssa e              = "Test text";_cv                                                                                1.41 %          1.41 %             4
stringa e          = "Test text";_mean                                                                              1.15 ns         1.15 ns            4
stringa e          = "Test text";_median                                                                            1.14 ns         1.14 ns            4
stringa e          = "Test text";_stddev                                                                           0.029 ns        0.029 ns            4
stringa e          = "Test text";_cv                                                                                2.50 %          2.50 %             4
lstringa<20> e     = "Test text";_mean                                                                              1.90 ns         1.90 ns            4
lstringa<20> e     = "Test text";_median                                                                            1.90 ns         1.90 ns            4
lstringa<20> e     = "Test text";_stddev                                                                           0.045 ns        0.045 ns            4
lstringa<20> e     = "Test text";_cv                                                                                2.37 %          2.36 %             4
lstringa<40> e     = "Test text";_mean                                                                              1.88 ns         1.88 ns            4
lstringa<40> e     = "Test text";_median                                                                            1.87 ns         1.87 ns            4
lstringa<40> e     = "Test text";_stddev                                                                           0.046 ns        0.046 ns            4
lstringa<40> e     = "Test text";_cv                                                                                2.46 %          2.46 %             4
-----  Create Str from long literal (30 symbols) ---------/repeats:1                                               0.000 ns        0.000 ns   1000000000000
std::string e      = "123456789012345678901234567890";_mean                                                         19.5 ns         19.5 ns            4
std::string e      = "123456789012345678901234567890";_median                                                       19.3 ns         19.3 ns            4
std::string e      = "123456789012345678901234567890";_stddev                                                      0.398 ns        0.398 ns            4
std::string e      = "123456789012345678901234567890";_cv                                                           2.04 %          2.04 %             4
std::string_view e = "123456789012345678901234567890";_mean                                                        0.763 ns        0.763 ns            4
std::string_view e = "123456789012345678901234567890";_median                                                      0.764 ns        0.764 ns            4
std::string_view e = "123456789012345678901234567890";_stddev                                                      0.008 ns        0.008 ns            4
std::string_view e = "123456789012345678901234567890";_cv                                                           1.10 %          1.10 %             4
ssa e              = "123456789012345678901234567890";_mean                                                        0.375 ns        0.375 ns            4
ssa e              = "123456789012345678901234567890";_median                                                      0.374 ns        0.374 ns            4
ssa e              = "123456789012345678901234567890";_stddev                                                      0.005 ns        0.005 ns            4
ssa e              = "123456789012345678901234567890";_cv                                                           1.45 %          1.45 %             4
stringa e          = "123456789012345678901234567890";_mean                                                         1.14 ns         1.14 ns            4
stringa e          = "123456789012345678901234567890";_median                                                       1.13 ns         1.13 ns            4
stringa e          = "123456789012345678901234567890";_stddev                                                      0.024 ns        0.024 ns            4
stringa e          = "123456789012345678901234567890";_cv                                                           2.13 %          2.13 %             4
lstringa<20> e     = "123456789012345678901234567890";_mean                                                         18.0 ns         18.0 ns            4
lstringa<20> e     = "123456789012345678901234567890";_median                                                       18.0 ns         18.0 ns            4
lstringa<20> e     = "123456789012345678901234567890";_stddev                                                      0.581 ns        0.581 ns            4
lstringa<20> e     = "123456789012345678901234567890";_cv                                                           3.22 %          3.22 %             4
lstringa<40> e     = "123456789012345678901234567890";_mean                                                         2.68 ns         2.68 ns            4
lstringa<40> e     = "123456789012345678901234567890";_median                                                       2.67 ns         2.67 ns            4
lstringa<40> e     = "123456789012345678901234567890";_stddev                                                      0.020 ns        0.020 ns            4
lstringa<40> e     = "123456789012345678901234567890";_cv                                                           0.73 %          0.73 %             4
-----  Create copy of Str with 9 symbols ---------/repeats:1                                                       0.000 ns        0.000 ns   1000000000000
std::string e      = "Test text"; auto c{e};_mean                                                                   5.77 ns         5.77 ns            4
std::string e      = "Test text"; auto c{e};_median                                                                 5.75 ns         5.75 ns            4
std::string e      = "Test text"; auto c{e};_stddev                                                                0.095 ns        0.095 ns            4
std::string e      = "Test text"; auto c{e};_cv                                                                     1.64 %          1.64 %             4
std::string_view e = "Test text"; auto c{e};_mean                                                                  0.388 ns        0.388 ns            4
std::string_view e = "Test text"; auto c{e};_median                                                                0.379 ns        0.379 ns            4
std::string_view e = "Test text"; auto c{e};_stddev                                                                0.022 ns        0.022 ns            4
std::string_view e = "Test text"; auto c{e};_cv                                                                     5.79 %          5.79 %             4
ssa e              = "Test text"; auto c{e};_mean                                                                  0.380 ns        0.380 ns            4
ssa e              = "Test text"; auto c{e};_median                                                                0.382 ns        0.382 ns            4
ssa e              = "Test text"; auto c{e};_stddev                                                                0.005 ns        0.005 ns            4
ssa e              = "Test text"; auto c{e};_cv                                                                     1.43 %          1.43 %             4
stringa e          = "Test text"; auto c{e};_mean                                                                   1.12 ns         1.12 ns            4
stringa e          = "Test text"; auto c{e};_median                                                                 1.12 ns         1.12 ns            4
stringa e          = "Test text"; auto c{e};_stddev                                                                0.016 ns        0.016 ns            4
stringa e          = "Test text"; auto c{e};_cv                                                                     1.46 %          1.46 %             4
lstringa<20> e     = "Test text"; auto c{e};_mean                                                                   1.14 ns         1.14 ns            4
lstringa<20> e     = "Test text"; auto c{e};_median                                                                 1.13 ns         1.13 ns            4
lstringa<20> e     = "Test text"; auto c{e};_stddev                                                                0.024 ns        0.024 ns            4
lstringa<20> e     = "Test text"; auto c{e};_cv                                                                     2.13 %          2.13 %             4
lstringa<40> e     = "Test text"; auto c{e};_mean                                                                   1.15 ns         1.15 ns            4
lstringa<40> e     = "Test text"; auto c{e};_median                                                                 1.15 ns         1.15 ns            4
lstringa<40> e     = "Test text"; auto c{e};_stddev                                                                0.014 ns        0.014 ns            4
lstringa<40> e     = "Test text"; auto c{e};_cv                                                                     1.19 %          1.19 %             4
-----  Create copy of Str with 30 symbols ---------/repeats:1                                                      0.000 ns        0.000 ns   1000000000000
std::string e      = "123456789012345678901234567890"; auto c{e};_mean                                              20.2 ns         20.2 ns            4
std::string e      = "123456789012345678901234567890"; auto c{e};_median                                            20.2 ns         20.2 ns            4
std::string e      = "123456789012345678901234567890"; auto c{e};_stddev                                           0.353 ns        0.353 ns            4
std::string e      = "123456789012345678901234567890"; auto c{e};_cv                                                1.75 %          1.75 %             4
std::string_view e = "123456789012345678901234567890"; auto c{e};_mean                                             0.758 ns        0.758 ns            4
std::string_view e = "123456789012345678901234567890"; auto c{e};_median                                           0.754 ns        0.755 ns            4
std::string_view e = "123456789012345678901234567890"; auto c{e};_stddev                                           0.009 ns        0.009 ns            4
std::string_view e = "123456789012345678901234567890"; auto c{e};_cv                                                1.19 %          1.19 %             4
ssa e              = "123456789012345678901234567890"; auto c{e};_mean                                             0.374 ns        0.374 ns            4
ssa e              = "123456789012345678901234567890"; auto c{e};_median                                           0.374 ns        0.374 ns            4
ssa e              = "123456789012345678901234567890"; auto c{e};_stddev                                           0.002 ns        0.002 ns            4
ssa e              = "123456789012345678901234567890"; auto c{e};_cv                                                0.58 %          0.59 %             4
stringa e          = "123456789012345678901234567890"; auto c{e};_mean                                              1.14 ns         1.14 ns            4
stringa e          = "123456789012345678901234567890"; auto c{e};_median                                            1.14 ns         1.14 ns            4
stringa e          = "123456789012345678901234567890"; auto c{e};_stddev                                           0.014 ns        0.014 ns            4
stringa e          = "123456789012345678901234567890"; auto c{e};_cv                                                1.23 %          1.23 %             4
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_mean                                              19.1 ns         19.1 ns            4
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_median                                            19.1 ns         19.1 ns            4
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_stddev                                           0.086 ns        0.086 ns            4
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_cv                                                0.45 %          0.45 %             4
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_mean                                              4.98 ns         4.98 ns            4
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_median                                            5.03 ns         5.03 ns            4
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_stddev                                           0.146 ns        0.146 ns            4
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_cv                                                2.94 %          2.94 %             4
-----  Find 9 symbols text in end of 99 symbols text ---------/repeats:1                                           0.000 ns        0.000 ns   1000000000000
sz::string::find;_mean                                                                                              95.9 ns         95.9 ns            4
sz::string::find;_median                                                                                            95.8 ns         95.8 ns            4
sz::string::find;_stddev                                                                                            1.48 ns         1.48 ns            4
sz::string::find;_cv                                                                                                1.54 %          1.54 %             4
std::string::find;_mean                                                                                             7.34 ns         7.34 ns            4
std::string::find;_median                                                                                           7.33 ns         7.33 ns            4
std::string::find;_stddev                                                                                          0.128 ns        0.128 ns            4
std::string::find;_cv                                                                                               1.75 %          1.75 %             4
std::string_view::find;_mean                                                                                        7.81 ns         7.81 ns            4
std::string_view::find;_median                                                                                      7.78 ns         7.78 ns            4
std::string_view::find;_stddev                                                                                     0.124 ns        0.124 ns            4
std::string_view::find;_cv                                                                                          1.59 %          1.59 %             4
ssa::find;_mean                                                                                                     7.37 ns         7.37 ns            4
ssa::find;_median                                                                                                   7.37 ns         7.37 ns            4
