Benchmarks of simstr, version 1.6.7
Sources: https://github.com/orefkov/simstr
Results: https://orefkov.github.io/simstr/results.html

2026-02-12T15:14:20+03:00
Running ./benchStr
Run on (32 X 2494.22 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
Load Average: 0.00, 0.00, 0.00
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
lstringa<20> e     = "Test text";_stddev                                                                           0.047 ns        0.047 ns            4
lstringa<20> e     = "Test text";_cv                                                                                2.53 %          2.53 %             4
lstringa<40> e     = "Test text";_mean                                                                              1.90 ns         1.90 ns            4
lstringa<40> e     = "Test text";_median                                                                            1.90 ns         1.90 ns            4
lstringa<40> e     = "Test text";_stddev                                                                           0.076 ns        0.076 ns            4
lstringa<40> e     = "Test text";_cv                                                                                3.98 %          3.98 %             4
-----  Create Str from long literal (30 symbols) ---------/repeats:1                                               0.000 ns        0.000 ns   1000000000000
std::string e      = "123456789012345678901234567890";_mean                                                         19.9 ns         19.9 ns            4
std::string e      = "123456789012345678901234567890";_median                                                       19.3 ns         19.3 ns            4
std::string e      = "123456789012345678901234567890";_stddev                                                       1.95 ns         1.95 ns            4
std::string e      = "123456789012345678901234567890";_cv                                                           9.82 %          9.82 %             4
std::string_view e = "123456789012345678901234567890";_mean                                                        0.729 ns        0.729 ns            4
std::string_view e = "123456789012345678901234567890";_median                                                      0.728 ns        0.728 ns            4
std::string_view e = "123456789012345678901234567890";_stddev                                                      0.011 ns        0.011 ns            4
std::string_view e = "123456789012345678901234567890";_cv                                                           1.45 %          1.45 %             4
ssa e              = "123456789012345678901234567890";_mean                                                        0.366 ns        0.366 ns            4
ssa e              = "123456789012345678901234567890";_median                                                      0.365 ns        0.365 ns            4
ssa e              = "123456789012345678901234567890";_stddev                                                      0.008 ns        0.008 ns            4
ssa e              = "123456789012345678901234567890";_cv                                                           2.10 %          2.10 %             4
stringa e          = "123456789012345678901234567890";_mean                                                         1.12 ns         1.12 ns            4
stringa e          = "123456789012345678901234567890";_median                                                       1.12 ns         1.12 ns            4
stringa e          = "123456789012345678901234567890";_stddev                                                      0.022 ns        0.022 ns            4
stringa e          = "123456789012345678901234567890";_cv                                                           1.99 %          1.99 %             4
lstringa<20> e     = "123456789012345678901234567890";_mean                                                         20.3 ns         20.3 ns            4
lstringa<20> e     = "123456789012345678901234567890";_median                                                       20.2 ns         20.2 ns            4
lstringa<20> e     = "123456789012345678901234567890";_stddev                                                      0.533 ns        0.533 ns            4
lstringa<20> e     = "123456789012345678901234567890";_cv                                                           2.63 %          2.63 %             4
lstringa<40> e     = "123456789012345678901234567890";_mean                                                         2.54 ns         2.54 ns            4
lstringa<40> e     = "123456789012345678901234567890";_median                                                       2.53 ns         2.53 ns            4
lstringa<40> e     = "123456789012345678901234567890";_stddev                                                      0.032 ns        0.032 ns            4
lstringa<40> e     = "123456789012345678901234567890";_cv                                                           1.27 %          1.27 %             4
-----  Create copy of Str with 9 symbols ---------/repeats:1                                                       0.000 ns        0.000 ns   1000000000000
std::string e      = "Test text"; auto c{e};_mean                                                                   4.78 ns         4.78 ns            4
std::string e      = "Test text"; auto c{e};_median                                                                 4.78 ns         4.78 ns            4
std::string e      = "Test text"; auto c{e};_stddev                                                                0.060 ns        0.060 ns            4
std::string e      = "Test text"; auto c{e};_cv                                                                     1.25 %          1.25 %             4
std::string_view e = "Test text"; auto c{e};_mean                                                                  0.363 ns        0.363 ns            4
std::string_view e = "Test text"; auto c{e};_median                                                                0.365 ns        0.365 ns            4
std::string_view e = "Test text"; auto c{e};_stddev                                                                0.005 ns        0.005 ns            4
std::string_view e = "Test text"; auto c{e};_cv                                                                     1.39 %          1.39 %             4
ssa e              = "Test text"; auto c{e};_mean                                                                  0.368 ns        0.368 ns            4
ssa e              = "Test text"; auto c{e};_median                                                                0.368 ns        0.368 ns            4
ssa e              = "Test text"; auto c{e};_stddev                                                                0.004 ns        0.004 ns            4
ssa e              = "Test text"; auto c{e};_cv                                                                     0.97 %          0.97 %             4
stringa e          = "Test text"; auto c{e};_mean                                                                   1.08 ns         1.08 ns            4
stringa e          = "Test text"; auto c{e};_median                                                                 1.08 ns         1.08 ns            4
stringa e          = "Test text"; auto c{e};_stddev                                                                0.009 ns        0.009 ns            4
stringa e          = "Test text"; auto c{e};_cv                                                                     0.84 %          0.84 %             4
lstringa<20> e     = "Test text"; auto c{e};_mean                                                                   1.47 ns         1.47 ns            4
lstringa<20> e     = "Test text"; auto c{e};_median                                                                 1.47 ns         1.47 ns            4
lstringa<20> e     = "Test text"; auto c{e};_stddev                                                                0.033 ns        0.033 ns            4
lstringa<20> e     = "Test text"; auto c{e};_cv                                                                     2.24 %          2.24 %             4
lstringa<40> e     = "Test text"; auto c{e};_mean                                                                   1.47 ns         1.47 ns            4
lstringa<40> e     = "Test text"; auto c{e};_median                                                                 1.47 ns         1.47 ns            4
lstringa<40> e     = "Test text"; auto c{e};_stddev                                                                0.027 ns        0.027 ns            4
lstringa<40> e     = "Test text"; auto c{e};_cv                                                                     1.87 %          1.87 %             4
-----  Create copy of Str with 30 symbols ---------/repeats:1                                                      0.000 ns        0.000 ns   1000000000000
std::string e      = "123456789012345678901234567890"; auto c{e};_mean                                              18.4 ns         18.4 ns            4
std::string e      = "123456789012345678901234567890"; auto c{e};_median                                            18.4 ns         18.4 ns            4
std::string e      = "123456789012345678901234567890"; auto c{e};_stddev                                           0.458 ns        0.458 ns            4
std::string e      = "123456789012345678901234567890"; auto c{e};_cv                                                2.49 %          2.49 %             4
std::string_view e = "123456789012345678901234567890"; auto c{e};_mean                                             0.738 ns        0.738 ns            4
std::string_view e = "123456789012345678901234567890"; auto c{e};_median                                           0.738 ns        0.738 ns            4
std::string_view e = "123456789012345678901234567890"; auto c{e};_stddev                                           0.002 ns        0.002 ns            4
std::string_view e = "123456789012345678901234567890"; auto c{e};_cv                                                0.29 %          0.29 %             4
ssa e              = "123456789012345678901234567890"; auto c{e};_mean                                             0.367 ns        0.367 ns            4
ssa e              = "123456789012345678901234567890"; auto c{e};_median                                           0.363 ns        0.363 ns            4
ssa e              = "123456789012345678901234567890"; auto c{e};_stddev                                           0.009 ns        0.009 ns            4
ssa e              = "123456789012345678901234567890"; auto c{e};_cv                                                2.51 %          2.51 %             4
stringa e          = "123456789012345678901234567890"; auto c{e};_mean                                              1.10 ns         1.10 ns            4
stringa e          = "123456789012345678901234567890"; auto c{e};_median                                            1.10 ns         1.10 ns            4
stringa e          = "123456789012345678901234567890"; auto c{e};_stddev                                           0.015 ns        0.015 ns            4
stringa e          = "123456789012345678901234567890"; auto c{e};_cv                                                1.34 %          1.34 %             4
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_mean                                              19.4 ns         19.4 ns            4
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_median                                            19.5 ns         19.5 ns            4
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_stddev                                           0.443 ns        0.443 ns            4
lstringa<20> e     = "123456789012345678901234567890"; auto c{e};_cv                                                2.28 %          2.28 %             4
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_mean                                              4.47 ns         4.47 ns            4
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_median                                            4.47 ns         4.47 ns            4
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_stddev                                           0.083 ns        0.083 ns            4
lstringa<40> e     = "123456789012345678901234567890"; auto c{e};_cv                                                1.85 %          1.85 %             4
-----  Find 9 symbols text in end of 99 symbols text ---------/repeats:1                                           0.000 ns        0.000 ns   1000000000000
std::string::find;_mean                                                                                             6.79 ns         6.79 ns            4
std::string::find;_median                                                                                           6.76 ns         6.76 ns            4
std::string::find;_stddev                                                                                          0.180 ns        0.180 ns            4
std::string::find;_cv                                                                                               2.65 %          2.65 %             4
std::string_view::find;_mean                                                                                        7.09 ns         7.09 ns            4
std::string_view::find;_median                                                                                      7.11 ns         7.11 ns            4
std::string_view::find;_stddev                                                                                     0.163 ns        0.163 ns            4
std::string_view::find;_cv                                                                                          2.30 %          2.30 %             4
ssa::find;_mean                                                                                                     6.79 ns         6.79 ns            4
ssa::find;_median                                                                                                   6.80 ns         6.80 ns            4
ssa::find;_stddev                                                                                                  0.088 ns        0.088 ns            4
ssa::find;_cv                                                                                                       1.30 %          1.30 %             4
stringa::find;_mean                                                                                                 7.43 ns         7.43 ns            4
stringa::find;_median                                                                                               7.33 ns         7.33 ns            4
stringa::find;_stddev                                                                                              0.301 ns        0.301 ns            4
stringa::find;_cv                                                                                                   4.05 %          4.05 %             4
lstringa<20>::find;_mean                                                                                            6.26 ns         6.26 ns            4
lstringa<20>::find;_median                                                                                          6.31 ns         6.31 ns            4
lstringa<20>::find;_stddev                                                                                         0.110 ns        0.110 ns            4
lstringa<20>::find;_cv                                                                                              1.75 %          1.75 %             4
lstringa<40>::find;_mean                                                                                            6.26 ns         6.26 ns            4
lstringa<40>::find;_median                                                                                          6.20 ns         6.20 ns            4
lstringa<40>::find;_stddev                                                                                         0.179 ns        0.179 ns            4
lstringa<40>::find;_cv                                                                                              2.85 %          2.85 %             4
-------  Copy not literal Str with N symbols ---------/repeats:1                                                   0.000 ns        0.000 ns   1000000000000
std::string copy{str_with_len_N};/15_mean                                                                           4.74 ns         4.74 ns            4
std::string copy{str_with_len_N};/15_median                                                                         4.74 ns         4.74 ns            4
std::string copy{str_with_len_N};/15_stddev                                                                        0.123 ns        0.123 ns            4
std::string copy{str_with_len_N};/15_cv                                                                             2.59 %          2.59 %             4
std::string copy{str_with_len_N};/16_mean                                                                           22.8 ns         22.8 ns            4
std::string copy{str_with_len_N};/16_median                                                                         23.0 ns         23.0 ns            4
std::string copy{str_with_len_N};/16_stddev                                                                        0.514 ns        0.514 ns            4
std::string copy{str_with_len_N};/16_cv                                                                             2.25 %          2.25 %             4
std::string copy{str_with_len_N};/23_mean                                                                           22.6 ns         22.6 ns            4
std::string copy{str_with_len_N};/23_median                                                                         22.7 ns         22.7 ns            4
std::string copy{str_with_len_N};/23_stddev                                                                        0.330 ns        0.330 ns            4
std::string copy{str_with_len_N};/23_cv                                                                             1.46 %          1.46 %             4
std::string copy{str_with_len_N};/24_mean                                                                           22.6 ns         22.6 ns            4
std::string copy{str_with_len_N};/24_median                                                                         22.6 ns         22.6 ns            4
std::string copy{str_with_len_N};/24_stddev                                                                        0.293 ns        0.293 ns            4
std::string copy{str_with_len_N};/24_cv                                                                             1.29 %          1.29 %             4
std::string copy{str_with_len_N};/32_mean                                                                           22.6 ns         22.6 ns            4
std::string copy{str_with_len_N};/32_median                                                                         22.6 ns         22.6 ns            4
std::string copy{str_with_len_N};/32_stddev                                                                        0.497 ns        0.497 ns            4
