Benchmarks of simstr, version 1.7.2
Sources: https://github.com/orefkov/simstr
Results: https://orefkov.github.io/simstr/results.html
Compiler GNU 15.2.0
2026-02-27T18:08:43+03:00
Running ./benchStr
Run on (32 X 2494.22 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
Load Average: 0.00, 0.00, 0.00
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
-----  Find three concatenated string in string_view -----/repeats:1                                               0.000 ns        0.000 ns   1000000000000
Find concat three std::string_mean                                                                                   116 ns          116 ns            4
Find concat three std::string_median                                                                                 116 ns          116 ns            4
Find concat three std::string_stddev                                                                                2.29 ns         2.29 ns            4
Find concat three std::string_cv                                                                                    1.97 %          1.97 %             4
Find concat three strexpr_mean                                                                                      38.4 ns         38.4 ns            4
Find concat three strexpr_median                                                                                    38.4 ns         38.4 ns            4
Find concat three strexpr_stddev                                                                                   0.966 ns        0.966 ns            4
Find concat three strexpr_cv                                                                                        2.52 %          2.52 %             4
Find concat three simstr_mean                                                                                       14.4 ns         14.4 ns            4
Find concat three simstr_median                                                                                     14.4 ns         14.4 ns            4
Find concat three simstr_stddev                                                                                    0.445 ns        0.445 ns            4
Find concat three simstr_cv                                                                                         3.08 %          3.08 %             4
Find concat three stringzilla string_mean                                                                            118 ns          118 ns            4
Find concat three stringzilla string_median                                                                          117 ns          117 ns            4
Find concat three stringzilla string_stddev                                                                         1.71 ns         1.71 ns            4
Find concat three stringzilla string_cv                                                                             1.45 %          1.45 %             4
-----  Build Type Name ---------/repeats:1                                                                         0.000 ns        0.000 ns   1000000000000
BuildTypeNameStr 0/0_mean                                                                                           8.40 ns         8.40 ns            4
BuildTypeNameStr 0/0_median                                                                                         8.36 ns         8.36 ns            4
BuildTypeNameStr 0/0_stddev                                                                                        0.165 ns        0.165 ns            4
BuildTypeNameStr 0/0_cv                                                                                             1.97 %          1.97 %             4
BuildTypeNameExp 0/0_mean                                                                                           6.68 ns         6.68 ns            4
BuildTypeNameExp 0/0_median                                                                                         6.71 ns         6.71 ns            4
BuildTypeNameExp 0/0_stddev                                                                                        0.148 ns        0.148 ns            4
BuildTypeNameExp 0/0_cv                                                                                             2.22 %          2.22 %             4
BuildTypeNameSim 0/0_mean                                                                                           4.83 ns         4.83 ns            4
BuildTypeNameSim 0/0_median                                                                                         4.82 ns         4.82 ns            4
BuildTypeNameSim 0/0_stddev                                                                                        0.072 ns        0.072 ns            4
BuildTypeNameSim 0/0_cv                                                                                             1.49 %          1.49 %             4
BuildTypeNameStr 10/10_mean                                                                                         72.5 ns         72.5 ns            4
BuildTypeNameStr 10/10_median                                                                                       72.5 ns         72.5 ns            4
BuildTypeNameStr 10/10_stddev                                                                                       1.15 ns         1.15 ns            4
BuildTypeNameStr 10/10_cv                                                                                           1.58 %          1.58 %             4
BuildTypeNameExp 10/10_mean                                                                                         26.5 ns         26.5 ns            4
BuildTypeNameExp 10/10_median                                                                                       26.5 ns         26.5 ns            4
BuildTypeNameExp 10/10_stddev                                                                                      0.255 ns        0.255 ns            4
BuildTypeNameExp 10/10_cv                                                                                           0.96 %          0.96 %             4
BuildTypeNameSim 10/10_mean                                                                                         21.7 ns         21.7 ns            4
BuildTypeNameSim 10/10_median                                                                                       21.7 ns         21.7 ns            4
BuildTypeNameSim 10/10_stddev                                                                                      0.405 ns        0.406 ns            4
BuildTypeNameSim 10/10_cv                                                                                           1.87 %          1.87 %             4
-----  Replace string by copy -----/repeats:1                                                                      0.000 ns        0.000 ns   1000000000000
Concat with replace str_mean                                                                                         219 ns          219 ns            4
Concat with replace str_median                                                                                       216 ns          216 ns            4
Concat with replace str_stddev                                                                                      7.44 ns         7.44 ns            4
Concat with replace str_cv                                                                                          3.40 %          3.40 %             4
Concat with replace exp_mean                                                                                         129 ns          129 ns            4
Concat with replace exp_median                                                                                       130 ns          130 ns            4
Concat with replace exp_stddev                                                                                      3.46 ns         3.45 ns            4
Concat with replace exp_cv                                                                                          2.67 %          2.67 %             4
-----  Create Empty Str ---------/repeats:1                                                                        0.000 ns        0.000 ns   1000000000000
std::string e;_mean                                                                                                 1.09 ns         1.09 ns            4
std::string e;_median                                                                                               1.10 ns         1.10 ns            4
std::string e;_stddev                                                                                              0.022 ns        0.022 ns            4
std::string e;_cv                                                                                                   1.97 %          1.97 %             4
std::string_view e;_mean                                                                                           0.740 ns        0.740 ns            4
std::string_view e;_median                                                                                         0.739 ns        0.739 ns            4
std::string_view e;_stddev                                                                                         0.014 ns        0.014 ns            4
std::string_view e;_cv                                                                                              1.84 %          1.84 %             4
ssa e;_mean                                                                                                        0.181 ns        0.181 ns            4
ssa e;_median                                                                                                      0.179 ns        0.179 ns            4
ssa e;_stddev                                                                                                      0.004 ns        0.004 ns            4
ssa e;_cv                                                                                                           2.31 %          2.31 %             4
stringa e;_mean                                                                                                    0.737 ns        0.737 ns            4
stringa e;_median                                                                                                  0.738 ns        0.738 ns            4
stringa e;_stddev                                                                                                  0.007 ns        0.007 ns            4
stringa e;_cv                                                                                                       0.91 %          0.91 %             4
lstringa<20> e;_mean                                                                                                1.10 ns         1.10 ns            4
lstringa<20> e;_median                                                                                              1.10 ns         1.10 ns            4
lstringa<20> e;_stddev                                                                                             0.005 ns        0.005 ns            4
lstringa<20> e;_cv                                                                                                  0.48 %          0.48 %             4
lstringa<40> e;_mean                                                                                                1.10 ns         1.10 ns            4
lstringa<40> e;_median                                                                                              1.10 ns         1.10 ns            4
lstringa<40> e;_stddev                                                                                             0.010 ns        0.010 ns            4
lstringa<40> e;_cv                                                                                                  0.95 %          0.95 %             4
-----  Create Str from short literal (9 symbols) --------/repeats:1                                                0.000 ns        0.000 ns   1000000000000
std::string e      = "Test text";_mean                                                                              1.83 ns         1.83 ns            4
std::string e      = "Test text";_median                                                                            1.82 ns         1.82 ns            4
std::string e      = "Test text";_stddev                                                                           0.035 ns        0.035 ns            4
std::string e      = "Test text";_cv                                                                                1.90 %          1.90 %             4
std::string_view e = "Test text";_mean                                                                             0.730 ns        0.730 ns            4
std::string_view e = "Test text";_median                                                                           0.731 ns        0.731 ns            4
std::string_view e = "Test text";_stddev                                                                           0.007 ns        0.007 ns            4
std::string_view e = "Test text";_cv                                                                                0.96 %          0.96 %             4
ssa e              = "Test text";_mean                                                                             0.729 ns        0.729 ns            4
ssa e              = "Test text";_median                                                                           0.730 ns        0.730 ns            4
ssa e              = "Test text";_stddev                                                                           0.009 ns        0.009 ns            4
ssa e              = "Test text";_cv                                                                                1.30 %          1.30 %             4
stringa e          = "Test text";_mean                                                                              1.10 ns         1.10 ns            4
stringa e          = "Test text";_median                                                                            1.11 ns         1.11 ns            4
stringa e          = "Test text";_stddev                                                                           0.014 ns        0.014 ns            4
stringa e          = "Test text";_cv                                                                                1.23 %          1.23 %             4
lstringa<20> e     = "Test text";_mean                                                                              1.83 ns         1.83 ns            4
lstringa<20> e     = "Test text";_median                                                                            1.84 ns         1.84 ns            4
lstringa<20> e     = "Test text";_stddev                                                                           0.015 ns        0.015 ns            4
lstringa<20> e     = "Test text";_cv                                                                                0.82 %          0.82 %             4
lstringa<40> e     = "Test text";_mean                                                                              1.85 ns         1.85 ns            4
lstringa<40> e     = "Test text";_median                                                                            1.85 ns         1.85 ns            4
lstringa<40> e     = "Test text";_stddev                                                                           0.035 ns        0.035 ns            4
lstringa<40> e     = "Test text";_cv                                                                                1.90 %          1.90 %             4
-----  Create Str from long literal (30 symbols) ---------/repeats:1                                               0.000 ns        0.000 ns   1000000000000
std::string e      = "123456789012345678901234567890";_mean                                                         19.1 ns         19.1 ns            4
std::string e      = "123456789012345678901234567890";_median                                                       19.0 ns         19.0 ns            4
std::string e      = "123456789012345678901234567890";_stddev                                                      0.160 ns        0.160 ns            4
std::string e      = "123456789012345678901234567890";_cv                                                           0.84 %          0.84 %             4
std::string_view e = "123456789012345678901234567890";_mean                                                        0.740 ns        0.740 ns            4
std::string_view e = "123456789012345678901234567890";_median                                                      0.740 ns        0.740 ns            4
std::string_view e = "123456789012345678901234567890";_stddev                                                      0.018 ns        0.018 ns            4
std::string_view e = "123456789012345678901234567890";_cv                                                           2.38 %          2.38 %             4
ssa e              = "123456789012345678901234567890";_mean                                                        0.746 ns        0.746 ns            4
ssa e              = "123456789012345678901234567890";_median                                                      0.746 ns        0.746 ns            4
ssa e              = "123456789012345678901234567890";_stddev                                                      0.005 ns        0.005 ns            4
ssa e              = "123456789012345678901234567890";_cv                                                           0.68 %          0.68 %             4
stringa e          = "123456789012345678901234567890";_mean                                                         1.11 ns         1.11 ns            4
stringa e          = "123456789012345678901234567890";_median                                                       1.11 ns         1.11 ns            4
stringa e          = "123456789012345678901234567890";_stddev                                                      0.024 ns        0.024 ns            4
stringa e          = "123456789012345678901234567890";_cv                                                           2.13 %          2.13 %             4
lstringa<20> e     = "123456789012345678901234567890";_mean                                                         20.1 ns         20.1 ns            4
lstringa<20> e     = "123456789012345678901234567890";_median                                                       20.1 ns         20.1 ns            4
lstringa<20> e     = "123456789012345678901234567890";_stddev                                                      0.192 ns        0.192 ns            4
lstringa<20> e     = "123456789012345678901234567890";_cv                                                           0.96 %          0.96 %             4
lstringa<40> e     = "123456789012345678901234567890";_mean                                                         1.82 ns         1.82 ns            4
lstringa<40> e     = "123456789012345678901234567890";_median                                                       1.81 ns         1.81 ns            4
lstringa<40> e     = "123456789012345678901234567890";_stddev                                                      0.034 ns        0.034 ns            4
lstringa<40> e     = "123456789012345678901234567890";_cv                                                           1.87 %          1.87 %             4
-----  Create copy of Str with 9 symbols ---------/repeats:1                                                       0.000 ns        0.000 ns   1000000000000
std::string e      = "Test text"; auto c{e};_mean                                                                   4.80 ns         4.80 ns            4
std::string e      = "Test text"; auto c{e};_median                                                                 4.79 ns         4.79 ns            4
std::string e      = "Test text"; auto c{e};_stddev                                                                0.082 ns        0.082 ns            4
std::string e      = "Test text"; auto c{e};_cv                                                                     1.70 %          1.70 %             4
std::string_view e = "Test text"; auto c{e};_mean                                                                  0.366 ns        0.366 ns            4
std::string_view e = "Test text"; auto c{e};_median                                                                0.364 ns        0.364 ns            4
std::string_view e = "Test text"; auto c{e};_stddev                                                                0.006 ns        0.006 ns            4
std::string_view e = "Test text"; auto c{e};_cv                                                                     1.67 %          1.67 %             4
ssa e              = "Test text"; auto c{e};_mean                                                                  0.375 ns        0.375 ns            4
ssa e              = "Test text"; auto c{e};_median                                                                0.372 ns        0.372 ns            4
ssa e              = "Test text"; auto c{e};_stddev                                                                0.009 ns        0.009 ns            4
ssa e              = "Test text"; auto c{e};_cv                                                                     2.28 %          2.28 %             4
stringa e          = "Test text"; auto c{e};_mean                                                                   1.10 ns         1.10 ns            4
stringa e          = "Test text"; auto c{e};_median                                                                 1.10 ns         1.10 ns            4
stringa e          = "Test text"; auto c{e};_stddev                                                                0.022 ns        0.022 ns            4
stringa e          = "Test text"; auto c{e};_cv                                                                     1.99 %          1.99 %             4
lstringa<20> e     = "Test text"; auto c{e};_mean                                                                   1.44 ns         1.44 ns            4
lstringa<20> e     = "Test text"; auto c{e};_median                                                                 1.44 ns         1.44 ns            4
lstringa<20> e     = "Test text"; auto c{e};_stddev                                                                0.015 ns        0.015 ns            4
lstringa<20> e     = "Test text"; auto c{e};_cv                                                                     1.06 %          1.06 %             4
lstringa<40> e     = "Test text"; auto c{e};_mean                                                                   1.45 ns         1.45 ns            4
lstringa<40> e     = "Test text"; auto c{e};_median                                                                 1.44 ns         1.44 ns            4
lstringa<40> e     = "Test text"; auto c{e};_stddev                                                                0.024 ns        0.024 ns            4
lstringa<40> e     = "Test text"; auto c{e};_cv                                                                     1.69 %          1.69 %             4
-----  Create copy of Str with 30 symbols ---------/repeats:1                                                      0.000 ns        0.000 ns   1000000000000
std::string e      = "123456789012345678901234567890"; auto c{e};_mean                                              22.5 ns         22.5 ns            4
std::string e      = "123456789012345678901234567890"; auto c{e};_median                                            22.4 ns         22.4 ns            4
std::string e      = "123456789012345678901234567890"; auto c{e};_stddev                                           0.410 ns        0.410 ns            4
std::string e      = "123456789012345678901234567890"; auto c{e};_cv                                                1.82 %          1.82 %             4
std::string_view e = "123456789012345678901234567890"; auto c{e};_mean                                             0.730 ns        0.730 ns            4
std::string_view e = "123456789012345678901234567890"; auto c{e};_median                                           0.730 ns        0.730 ns            4
std::string_view e = "123456789012345678901234567890"; auto c{e};_stddev                                           0.007 ns        0.007 ns            4
std::string_view e = "123456789012345678901234567890"; auto c{e};_cv                                                0.91 %          0.91 %             4
ssa e              = "123456789012345678901234567890"; auto c{e};_mean                                             0.733 ns        0.733 ns            4
ssa e              = "123456789012345678901234567890"; auto c{e};_median                                           0.735 ns        0.735 ns            4
ssa e              = "123456789012345678901234567890"; auto c{e};_stddev                                           0.012 ns        0.012 ns            4
ssa e              = "123456789012345678901234567890"; auto c{e};_cv                                                1.58 %          1.58 %             4
stringa e          = "123456789012345678901234567890"; auto c{e};_mean                                              6.70 ns         6.70 ns            4
stringa e          = "123456789012345678901234567890"; auto c{e};_median                                            6.68 ns         6.68 ns            4
stringa e          = "123456789012345678901234567890"; auto c{e};_stddev                                           0.044 ns        0.044 ns            4
stringa e          = "123456789012345678901234567890"; auto c{e};_cv                                                0.66 %          0.66 %             4
