2026-01-31T15:51:52+03:00
Running ./benchStr
Run on (32 X 2494.22 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x16)
  L1 Instruction 32 KiB (x16)
  L2 Unified 256 KiB (x16)
  L3 Unified 40960 KiB (x1)
Load Average: 0.05, 0.01, 0.00
***WARNING*** ASLR is enabled, the results may have unreproducible noise in them.
--------------------------------------------------------------------------------------------------------------------------------------------------------
Benchmark                                                                                                              Time             CPU   Iterations
ssa e;_stddev                                                                                                      0.002 ns        0.002 ns           10
ssa e;_cv                                                                                                           1.33 %          1.33 %            10
stringa e;_mean                                                                                                    0.731 ns        0.731 ns           10
stringa e;_median                                                                                                  0.734 ns        0.734 ns           10
stringa e;_stddev                                                                                                  0.010 ns        0.010 ns           10
stringa e;_cv                                                                                                       1.41 %          1.41 %            10
lstringa<20> e;_mean                                                                                                1.11 ns         1.11 ns           10
lstringa<20> e;_median                                                                                              1.10 ns         1.10 ns           10
lstringa<20> e;_stddev                                                                                             0.032 ns        0.032 ns           10
lstringa<20> e;_cv                                                                                                  2.84 %          2.84 %            10
lstringa<40> e;_mean                                                                                                1.11 ns         1.11 ns           10
lstringa<40> e;_median                                                                                              1.10 ns         1.10 ns           10
lstringa<40> e;_stddev                                                                                             0.031 ns        0.031 ns           10
lstringa<40> e;_cv                                                                                                  2.81 %          2.81 %            10
-----  Create Str from short literal (9 symbols) --------/repeats:1                                                0.000 ns        0.000 ns   1000000000000
std::string e      = "Test text";_mean                                                                              1.87 ns         1.87 ns           10
std::string e      = "Test text";_median                                                                            1.83 ns         1.83 ns           10
std::string e      = "Test text";_stddev                                                                           0.092 ns        0.092 ns           10
std::string e      = "Test text";_cv                                                                                4.94 %          4.94 %            10
std::string_view e = "Test text";_mean                                                                             0.734 ns        0.734 ns           10
std::string_view e = "Test text";_median                                                                           0.731 ns        0.731 ns           10
std::string_view e = "Test text";_stddev                                                                           0.012 ns        0.012 ns           10
std::string_view e = "Test text";_cv                                                                                1.63 %          1.63 %            10
